EVENT_ID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
   833862,ke  ,GCMT     ,1967-07-29,10:24:30.80,  7.3400, -73.2900,157.2,TRUE    ,GCMT     ,19,1.800, 6.8,19, 0.300,-0.020,-0.280,-0.090, 0.310,-1.740,182.00,85.00, 100.00,296.00,11.00,  24.00,19, 1.820,49.00,103.00,-1.780,40.00,262.00,-0.040,10.00,  1.00
   757767,ke  ,GCMT     ,1973-08-30,18:25:51.10,  7.9700, -72.6000,173.5,TRUE    ,GCMT     ,18,3.360, 6.3,18, 0.460,-0.220,-0.230,-0.060, 1.380,-3.040,178.00,86.00, 114.00,276.00,25.00,   9.00,18, 3.430,44.00,112.00,-3.280,36.00,246.00,-0.150,24.00,356.00
   699378,ke  ,GCMT     ,1977-04-04,17:52:26.00,  7.7400, -34.7400, 10.0,TRUE    ,GCMT     ,18,1.550, 6.1,18, 0.198, 0.142,-0.340,-0.281,-1.479,-0.363, 86.00,80.00,-171.00,355.00,81.00, -10.00,18, 1.400, 1.00, 41.00,-1.710,14.00,310.00, 0.310,76.00,135.00
   688094,fe  ,GCMT     ,1978-01-21,08:19:35.30,  6.5400, -72.7500, 15.0,TRUE    ,GCMT     ,17,1.590, 5.4,17,-0.319, 0.730,-0.410,-0.272, 0.644, 1.421, 94.00,35.00, -12.00,194.00,83.00,-124.00,17, 1.230,30.00,311.00,-1.950,41.00, 71.00, 0.710,34.00,198.00
   677770,fe  ,GCMT     ,1978-08-08,02:58:41.40,  7.3100, -72.0300, 50.7,TRUE    ,GCMT     ,16,6.550, 5.1,16, 5.260, 0.845,-6.100,-0.680, 2.689, 2.170,161.00,35.00,  90.00,341.00,55.00,  90.00,16, 5.670,80.00,251.00,-7.430,10.00, 71.00, 1.760, 0.00,161.00
   673538,ke  ,GCMT     ,1978-11-05,06:39:41.10,  8.2700, -38.6900, 15.0,TRUE    ,GCMT     ,17,1.790, 5.4,17,-0.111, 0.109, 0.000, 0.000,-1.785, 0.000,269.00,90.00, 180.00,359.00,90.00,   0.00,17, 1.840, 0.00,224.00,-1.730, 0.00,134.00,-0.110,90.00,180.00
   667921,ke  ,GCMT     ,1979-03-10,06:45:16.50,  7.8200,  59.8000, 15.0,TRUE    ,GCMT     ,16,5.120, 5.1,16,-3.069,-0.339, 3.400,-1.900,-2.977,-1.782,  3.00,61.00, -44.00,119.00,52.00,-142.00,16, 5.110, 5.00, 63.00,-5.130,51.00,327.00, 0.020,39.00,157.00
   664632,fe  ,GCMT     ,1979-05-05,20:05:09.40,  9.0900, -71.5600, 22.0,TRUE    ,GCMT     ,17,1.520, 5.4,17, 0.373, 0.924,-1.290, 0.063, 0.576, 0.948, 26.00,87.00, 143.00,119.00,53.00,   4.00,17, 1.220,28.00,336.00,-1.820,23.00, 79.00, 0.600,53.00,202.00
   665432,fe  ,GCMT     ,1979-05-21,20:21:52.70,  7.2700, -74.0700, 24.0,TRUE    ,GCMT     ,17,2.100, 5.5,17, 1.464, 0.366,-1.830, 0.955,-0.838, 0.062, 47.00,59.00, 128.00,170.00,48.00,  45.00,17, 2.050,58.00, 11.00,-2.150, 6.00,111.00, 0.100,32.00,205.00
   663158,ke  ,GCMT     ,1979-06-10,06:49:56.80,  8.1700, -38.1100, 15.0,TRUE    ,GCMT     ,18,1.610, 6.1,18,-0.114, 0.040, 0.070, 0.000,-1.610, 0.000,  0.00,90.00,   0.00,270.00,90.00, 180.00,18, 1.670, 0.00,225.00,-1.550, 0.00,135.00,-0.110,90.00,180.00
   644923,ke  ,GCMT     ,1980-05-02,01:47:12.80,  7.7100, -72.3400, 15.0,TRUE    ,GCMT     ,16,12.850, 5.3,16, 6.111, 1.429,-7.540,-4.417,-3.204, 9.377,226.00,28.00, 147.00,345.00,75.00,  66.00,16,13.330,54.00,226.00,-12.370,26.00, 94.00,-0.960,23.00,352.00
   642476,ke  ,GCMT     ,1980-07-26,12:53:50.10,  7.4700, -33.8900, 15.0,TRUE    ,GCMT     ,17,3.440, 5.6,17,-0.221, 0.241,-0.010, 0.000,-3.435, 0.000,269.00,90.00, 180.00,359.00,90.00,   0.00,17, 3.550, 0.00,224.00,-3.330, 0.00,134.00,-0.220,90.00,180.00
   637944,ke  ,GCMT     ,1980-10-28,23:20:11.30,  7.9600, -74.7200, 80.7,TRUE    ,GCMT     ,16,3.830, 5.0,16,-2.852,-0.764, 3.610,-1.750, 0.776,-0.357, 36.00,58.00, -55.00,163.00,46.00,-132.00,16, 3.820, 7.00,102.00,-3.850,60.00,  0.00, 0.030,29.00,195.00
   636186,de  ,GCMT     ,1980-11-26,17:35:42.70,  7.9600, -72.6400, 40.0,TRUE    ,GCMT     ,16,8.590, 5.2,16,-0.087, 6.511,-6.420, 3.874,-3.689,-2.410, 57.00,64.00, 170.00,151.00,81.00,  26.00,16, 9.500,25.00, 17.00,-7.680,12.00,281.00,-1.810,62.00,168.00
   628588,ke  ,GCMT     ,1981-04-22,23:16:58.50,  7.2500, -36.0600, 15.0,TRUE    ,GCMT     ,17,1.820, 5.4,17,-0.132, 0.215,-0.080, 0.000,-1.816, 0.000,268.00,90.00, 180.00,358.00,90.00,   0.00,17, 1.890, 0.00,223.00,-1.760, 0.00,133.00,-0.130,90.00,180.00
   610119,fe  ,GCMT     ,1981-10-18,04:31:10.00,  8.4500, -72.8100, 26.0,TRUE    ,GCMT     ,17,9.160, 5.9,17, 1.674, 3.474,-5.140,-0.068,-4.969, 6.625,251.00,43.00, 173.00,347.00,85.00,  47.00,17, 7.830,35.00,221.00,-10.500,27.00,109.00, 2.670,42.00,352.00
   606802,ke  ,GCMT     ,1981-12-06,14:54:33.50,  8.2500, -38.2500, 10.0,TRUE    ,GCMT     ,17,3.110, 5.6,17,-0.482,-0.324, 0.800, 0.000,-3.062, 0.000,  5.00,90.00,   0.00,275.00,90.00, 180.00,17, 3.350, 0.00,230.00,-2.870, 0.00,140.00,-0.480,90.00,225.00
   605702,fe  ,GCMT     ,1982-01-17,14:52:18.70,  5.9700, -74.0500, 35.4,TRUE    ,GCMT     ,16,10.270, 5.3,16, 0.782, 7.379,-8.160,-6.635,-2.720, 1.110,230.00,68.00, 157.00,329.00,68.00,  23.00,16,11.910,31.00,190.00,-8.620, 0.00,280.00,-3.290,59.00, 10.00
   600392,ke  ,GCMT     ,1982-04-10,09:47:15.10,  7.6100, -35.8100, 15.0,TRUE    ,GCMT     ,16,9.490, 5.2,16,-0.637,-0.075, 0.710, 1.420,-8.857,-3.273, 90.00,71.00, 174.00,182.00,85.00,  19.00,16,10.220,17.00, 47.00,-8.750, 9.00,315.00,-1.470,70.00,197.00
   594809,fe  ,GCMT     ,1982-07-04,06:16:11.50,  7.6900, -71.7000, 96.1,TRUE    ,GCMT     ,17,1.210, 5.3,17, 0.297, 0.924,-1.220, 0.295,-0.344,-0.252, 52.00,69.00, 169.00,146.00,80.00,  21.00,17, 1.110,22.00, 11.00,-1.300, 7.00,278.00, 0.190,67.00,170.00
   566542,ke  ,GCMT     ,1983-10-13,23:27:36.30,  7.2500, -34.3500, 10.0,TRUE    ,GCMT     ,16,10.340, 5.3,16,-6.995,-0.091, 7.080,-1.294,-5.582, 5.501,164.00,63.00, -75.00,314.00,31.00,-116.00,16,11.730,16.00,243.00,-8.940,69.00,103.00,-2.790,13.00,337.00
   562233,ke  ,GCMT     ,1983-12-02,23:08:46.40,  7.4100,  38.5900, 15.0,TRUE    ,GCMT     ,17,1.300, 5.3,17,-1.195,-0.090, 1.280, 0.086,-0.285, 0.253,176.00,51.00, -81.00,342.00,40.00,-101.00,17, 1.360, 5.00,259.00,-1.230,81.00,132.00,-0.130, 7.00,350.00
   547971,ke  ,GCMT     ,1984-08-30,20:13:08.30,  7.1900, -33.7200, 10.0,TRUE    ,GCMT     ,16,9.410, 5.2,16,-7.135,-0.551, 7.680, 3.074, 2.970, 4.008,  4.00,31.00,-113.00,210.00,62.00, -77.00,16, 9.990,16.00,290.00,-8.820,70.00,148.00,-1.160,12.00, 24.00
   538115,fe  ,NEIS     ,1984-11-01,04:48:50.27,  8.1850, -38.7940, 25.0,        ,NEIS     ,19,5.000, 7.1,19, 0.210,-4.910, 4.700,-0.990,-0.920,-0.590, 39.00,87.00, -12.00,130.00,78.00,-177.00,19, 4.840, 6.00, 85.00,-5.200,11.00,354.00, 0.360,77.00,204.00
   538115,fe  ,GCMT     ,1984-11-01,04:48:59.20,  8.3600, -38.8200, 10.0,TRUE    ,GCMT     ,19,4.030, 7.0,19, 0.151,-0.510, 0.350, 0.342,-3.823, 1.165,183.00,88.00, -17.00,274.00,73.00,-177.00,19, 3.890,10.00,230.00,-4.170,14.00,137.00, 0.290,73.00,355.00
   538354,fe  ,GCMT     ,1984-11-04,13:14:26.70,  7.2800, -73.2500,155.7,TRUE    ,GCMT     ,17,1.790, 5.4,17,-0.866, 0.045, 0.820,-0.391, 0.154,-1.526, 14.00,76.00, -88.00,187.00,14.00, -96.00,17, 1.790,31.00,102.00,-1.800,59.00,286.00, 0.020, 2.00,193.00
   537087,ke  ,GCMT     ,1984-12-20,23:31:22.30,  6.9400, -33.3200, 10.0,TRUE    ,GCMT     ,17,1.210, 5.3,17,-0.671,-0.241, 0.910,-0.247,-1.003, 0.175, 12.00,62.00, -19.00,111.00,73.00,-151.00,17, 1.530, 7.00,240.00,-0.900,32.00,334.00,-0.630,57.00,139.00
   523572,fe  ,GCMT     ,1985-06-26,23:45:01.00,  7.1000, -73.0000,144.2,TRUE    ,GCMT     ,16,6.170, 5.1,16, 2.068,-0.494,-1.570,-2.668,-0.320,-5.240, 12.00, 9.00,  76.00,206.00,81.00,  92.00,16, 6.390,54.00,119.00,-5.940,36.00,294.00,-0.450, 2.00, 26.00
   518487,ke  ,AFAR     ,1985-08-20,05:46:00   ,  5.5200,  36.1400,     ,        ,AFAR     ,16,9.300, 5.3,  ,      ,      ,      ,      ,      ,      , 21.00,58.00,-105.00,227.00,35.00, -68.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
   518487,ke  ,GCMT     ,1985-08-20,05:46:05.60,  5.7200,  35.9600, 10.0,TRUE    ,GCMT     ,16,14.840, 5.4,16,-9.432, 6.903, 2.520,-2.840, 6.667,-9.815, 29.00,68.00,-113.00,258.00,31.00, -45.00,16,14.710,20.00,136.00,-14.980,60.00,265.00, 0.270,21.00, 38.00
   509288,ke  ,GCMT     ,1985-12-24,04:13:30.50,  7.5300, -33.8800, 10.0,TRUE    ,GCMT     ,17,7.990, 5.9,17,-0.443, 1.232,-0.780,-3.845,-6.041,-4.412, 90.00,69.00,-155.00,350.00,67.00, -23.00,17, 6.350, 1.00,220.00,-9.630,32.00,310.00, 3.280,57.00,128.00
   494270,fe  ,GCMT     ,1986-06-29,20:11:56.40,  7.1500, -73.1400,160.1,TRUE    ,GCMT     ,17,4.690, 5.7,17, 1.928,-2.603, 0.670, 1.907, 3.571,-2.008,156.00,77.00, 135.00,259.00,46.00,  18.00,17, 3.540,40.00,107.00,-5.830,19.00,214.00, 2.290,44.00,324.00
   488227,ke  ,GCMT     ,1986-08-08,16:19:01.60,  8.3600,  59.4600, 15.0,TRUE    ,GCMT     ,16,5.680, 5.1,16,-4.526, 1.004, 3.520,-0.101,-2.931,-2.623,128.00,36.00,-120.00,344.00,60.00, -70.00,16, 5.900,12.00, 59.00,-5.460,68.00,295.00,-0.450,17.00,153.00
   488537,fe  ,GCMT     ,1986-08-13,15:27:29.00,  8.0000, -74.7400, 78.5,TRUE    ,GCMT     ,16,8.040, 5.2,16,-1.646, 3.265,-1.610, 1.693, 4.982,-5.763, 16.00,76.00,-140.00,274.00,51.00, -18.00,16, 6.840,16.00,140.00,-9.240,38.00,243.00, 2.400,48.00, 32.00
   485147,ke  ,GCMT     ,1986-10-27,14:12:00.70,  7.2600, -36.2000, 15.0,TRUE    ,GCMT     ,17,1.460, 5.4,17,-1.118,-0.185, 1.300,-0.394,-0.533, 0.514,151.00,59.00,-104.00,356.00,34.00, -68.00,17, 1.610,13.00,251.00,-1.300,72.00, 26.00,-0.310,12.00,158.00
   477387,fe  ,GCMT     ,1987-01-26,23:11:52.90,  7.8500,  12.9500, 15.0,TRUE    ,GCMT     ,16,2.770, 4.9,16, 1.824, 0.309,-2.130, 1.061,-0.492, 1.534, 27.00,67.00, 104.00,174.00,27.00,  60.00,16, 2.670,65.00,321.00,-2.870,21.00,106.00, 0.210,13.00,201.00
   463320,ke  ,GCMT     ,1987-06-01,02:53:38.50,  8.4500, -37.8400, 15.0,TRUE    ,GCMT     ,16,5.280, 5.1,16,-5.328, 0.484, 4.840, 0.469, 0.553,-1.205,  1.00,51.00, -97.00,193.00,39.00, -81.00,16, 5.040, 6.00, 96.00,-5.520,82.00,233.00, 0.480, 6.00,  6.00
   454899,ke  ,GCMT     ,1987-10-07,22:29:29.30,  6.5400,  37.3100, 15.0,TRUE    ,GCMT     ,16,9.920, 5.3,16,-6.360, 1.826, 4.530,-2.969, 2.654,-7.105, 24.00,71.00, -94.00,216.00,20.00, -79.00,16, 9.780,25.00,118.00,-10.060,64.00,288.00, 0.290, 4.00, 26.00
   456150,fe  ,NEIC     ,1987-10-25,16:46:13.38,  5.4090,  36.7510,  9.0,        ,NEIC     ,18,2.700, 6.3,18,-0.910, 1.650,-0.740,-1.700,-0.050, 1.520,126.00,79.00, -65.00,238.00,27.00,-156.00,18, 2.670,30.00,196.00,-2.710,50.00, 63.00, 0.040,25.00,301.00
   456150,fe  ,GCMT     ,1987-10-25,16:46:22.90,  5.7700,  36.4000, 15.0,TRUE    ,GCMT     ,18,2.520, 6.2,18,-1.830, 0.083, 1.740, 0.262, 1.279,-1.218,  7.00,61.00,-116.00,232.00,38.00, -51.00,18, 2.650,12.00,115.00,-2.390,64.00,232.00,-0.260,23.00, 20.00
   456362,de  ,GCMT     ,1987-10-28,08:58:36.40,  5.9200,  36.6500, 15.0,TRUE    ,GCMT     ,17,10.960, 6.0,17,-9.930, 0.150, 9.770, 1.043, 4.871,-0.594, 15.00,46.00,-102.00,211.00,45.00, -78.00,17,11.810, 0.00,113.00,-10.100,82.00,205.00,-1.710, 8.00, 23.00
   438342,ke  ,NEIC     ,1988-05-20,14:58:43.53,  8.1160, -38.4130, 36.0,        ,NEIC     ,18,1.500, 6.1,18, 0.490,-0.570, 0.080,-0.450,-1.410,-0.320,  5.00,79.00,  -7.00, 97.00,83.00,-168.00,18, 1.210, 3.00,231.00,-1.830,13.00,322.00, 0.620,76.00,129.00
   438342,ke  ,GCMT     ,1988-05-20,14:58:50.20,  8.2000, -38.5100, 15.0,TRUE    ,GCMT     ,18,1.220, 6.0,18,-0.027, 0.106,-0.070, 0.186,-1.189,-0.168, 87.00,82.00, 172.00,178.00,82.00,   8.00,18, 1.250,11.00, 43.00,-1.180, 0.00,133.00,-0.080,79.00,224.00
   422978,ke  ,GCMT     ,1988-10-18,02:26:11.90,  7.7400, -35.7000, 20.7,TRUE    ,GCMT     ,16,9.740, 5.3,16,-0.356, 0.362, 0.000, 0.000,-9.738, 0.000,269.00,90.00, 180.00,359.00,90.00,   0.00,16, 9.920, 0.00,224.00,-9.560, 0.00,134.00,-0.360,90.00,180.00
   412657,ke  ,GCMT     ,1989-02-13,08:07:03.10,  8.3200, -37.6000, 15.0,TRUE    ,GCMT     ,17,1.750, 5.4,17,-1.510,-0.378, 1.880, 0.063, 0.061, 0.410,184.00,52.00, -87.00,359.00,38.00, -94.00,17, 1.940, 7.00,272.00,-1.560,83.00,112.00,-0.380, 2.00,  2.00
   407497,ke  ,GCMT     ,1989-04-16,10:51:26.80,  4.8900, -32.3100, 15.0,TRUE    ,GCMT     ,17,3.440, 5.6,17,-3.437, 0.141, 3.290,-0.156,-0.129, 0.664,  0.00,39.00, -87.00,176.00,51.00, -93.00,17, 3.370, 6.00,267.00,-3.510,84.00, 68.00, 0.140, 2.00,177.00
   401469,de  ,GCMT     ,1989-06-08,06:24:17.50,  7.3500,  38.1600, 15.0,TRUE    ,GCMT     ,16,2.890, 4.9,16,-2.424,-0.451, 2.870, 0.000, 1.349, 0.000, 20.00,45.00, -90.00,200.00,45.00, -90.00,16, 3.350, 0.00,110.00,-2.420,90.00,180.00,-0.930, 0.00, 20.00
   385459,ke  ,GCMT     ,1989-12-31,18:31:32.80,  7.8800, -36.4900, 15.0,TRUE    ,GCMT     ,16,5.920, 5.1,16, 0.332, 0.766,-1.090, 0.000,-5.843, 0.000,265.00,90.00,-180.00,355.00,90.00,   0.00,16, 5.750, 0.00,220.00,-6.080, 0.00,130.00, 0.330,90.00,180.00
   372686,ke  ,GCMT     ,1990-04-17,11:34:14.10,  7.2300, -34.9600, 15.0,TRUE    ,GCMT     ,18,1.570, 6.1,18,-0.299, 0.168, 0.130,-0.472,-1.495, 0.010, 91.00,86.00,-161.00,359.00,71.00,  -5.00,18, 1.700,10.00,224.00,-1.440,16.00,317.00,-0.260,71.00,104.00
   370208,fe  ,NEIC     ,1990-05-24,19:34:44.24,  5.2770,  31.8290,  9.0,        ,NEIC     ,18,5.100, 6.4,18,-4.780, 4.280, 0.500, 1.160, 1.820, 0.970, 74.00,37.00, -81.00,243.00,53.00, -97.00,18, 5.220, 8.00,337.00,-5.030,80.00,124.00,-0.190, 5.00,247.00
   370208,fe  ,GCMT     ,1990-05-24,19:34:53.60,  5.9300,  31.6400, 15.0,TRUE    ,GCMT     ,18,6.450, 6.5,18,-5.580, 5.509, 0.070,-1.591, 3.061, 0.092, 74.00,52.00, -79.00,236.00,39.00,-104.00,18, 7.040, 6.00,156.00,-5.860,79.00, 31.00,-1.190, 9.00,247.00
   370548,ke  ,GCMT     ,1990-05-27,21:53:01.20,  7.6200, -36.8500, 15.0,TRUE    ,GCMT     ,17,7.720, 5.9,17,-0.577,-0.015, 0.590, 0.000,-7.718, 0.000,  1.00,90.00,   0.00,271.00,90.00,-180.00,17, 8.010, 0.00,226.00,-7.440, 0.00,136.00,-0.580,90.00,180.00
   362203,ke  ,NEIC     ,1990-07-09,15:11:20.38,  5.3950,  31.6540, 10.0,        ,NEIC     ,18,8.800, 6.6,18,-0.050, 7.910,-7.860, 0.910,-3.750,-0.290, 58.00,85.00, 176.00,148.00,86.00,   5.00,18, 8.860, 6.00, 13.00,-8.710, 1.00,283.00,-0.150,84.00,188.00
   362203,ke  ,GCMT     ,1990-07-09,15:11:27.80,  5.8300,  31.6000, 15.0,TRUE    ,GCMT     ,18,3.310, 6.3,18,-1.729, 2.158,-0.430, 1.759, 1.894,-0.663, 28.00,44.00,-149.00,274.00,69.00, -50.00,18, 3.480,14.00,336.00,-3.140,50.00,229.00,-0.340,37.00, 77.00
   364397,ke  ,GCMT     ,1990-07-28,16:46:12.40,  6.0000,  32.0500, 15.0,TRUE    ,GCMT     ,17,1.220, 5.3,17,-1.073, 1.345,-0.270, 0.000,-0.205, 0.000, 97.00,45.00, -90.00,277.00,45.00, -90.00,17, 1.370, 0.00,187.00,-1.070,90.00,180.00,-0.300, 0.00, 97.00
   359114,ke  ,GCMT     ,1990-08-10,21:11:48.40,  6.2800,  59.8000, 15.0,TRUE    ,GCMT     ,17,1.940, 5.5,17,-1.857, 0.984, 0.870, 0.000,-1.083, 0.000,134.00,45.00, -90.00,314.00,45.00, -90.00,17, 2.010, 0.00,224.00,-1.860,90.00,180.00,-0.160, 0.00,134.00
   346172,fe  ,GCMT     ,1990-12-03,00:38:40.10,  6.7800, -72.9500,158.2,TRUE    ,GCMT     ,16,10.360, 5.3,16, 4.540, 0.902,-5.440, 3.540, 5.985,-6.949,155.00,70.00,  97.00,315.00,21.00,  71.00,16, 8.140,64.00, 77.00,-12.580,24.00,240.00, 4.440, 7.00,333.00
   330136,fe  ,GCMT     ,1991-06-25,23:07:11.70,  5.7600, -72.9000, 15.0,TRUE    ,GCMT     ,16,7.670, 5.2,16, 0.641, 7.338,-7.970, 0.000,-0.403, 0.000,227.00,90.00,-180.00,317.00,90.00,   0.00,16, 7.350, 0.00,182.00,-7.990, 0.00, 92.00, 0.640,90.00,180.00
   317743,ke  ,GCMT     ,1991-10-26,05:28:04.30,  7.5600, -34.8400, 15.0,TRUE    ,GCMT     ,17,1.300, 5.3,17,-0.009, 0.038,-0.020, 0.000,-1.301, 0.000,269.00,90.00,-180.00,359.00,90.00,   0.00,17, 1.310, 0.00,224.00,-1.300, 0.00,134.00,-0.010,90.00,180.00
   294273,ke  ,GCMT     ,1992-04-02,21:03:09.70,  7.4300, -34.0200, 15.0,TRUE    ,GCMT     ,17,1.800, 5.4,17,-0.047, 0.395,-0.340, 0.000,-1.766, 0.000,264.00,90.00,-180.00,354.00,90.00,   0.00,17, 1.830, 0.00,219.00,-1.780, 0.00,129.00,-0.050,90.00,180.00
   247679,de  ,AFAR     ,1993-02-13,02:25:00   ,  8.3300,  39.3100,     ,        ,AFAR     ,  ,     , 4.9,  ,      ,      ,      ,      ,      ,      ,221.00,87.00,  -7.00,311.00,83.00,-177.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
   247679,de  ,GCMT     ,1993-02-13,02:25:49.70,  7.7500,  39.0600, 15.0,TRUE    ,GCMT     ,17,1.140, 5.3,17,-0.273, 0.080, 0.190, 0.343, 1.048, 0.415, 90.00,74.00,  10.00,357.00,80.00, 164.00,17, 1.360,18.00,313.00,-0.920, 4.00, 45.00,-0.450,71.00,147.00
   241001,ke  ,GCMT     ,1993-04-30,08:49:15.30,  7.8400, -37.2000, 15.0,TRUE    ,GCMT     ,17,1.260, 5.3,17,-0.087,-0.018, 0.100,-0.179,-1.240, 0.118,  2.00,82.00,   4.00,271.00,86.00, 172.00,17, 1.320, 8.00,226.00,-1.200, 3.00,317.00,-0.120,81.00, 63.00
   223401,de  ,NEIC     ,1993-07-22,04:57:07.05,  6.4700, -71.2100, 21.0,        ,NEIC     ,18,1.500, 6.1,18,-1.560, 0.440, 1.110, 0.720, 0.090,-0.020,206.00,50.00, -66.00,352.00,46.00,-115.00,18, 1.130, 2.00,280.00,-1.800,72.00,183.00, 0.670,18.00, 10.00
   223401,de  ,GCMT     ,1993-07-22,04:57:14.80,  6.5700, -71.1200, 24.1,TRUE    ,GCMT     ,18,1.320, 6.0,18,-1.221, 0.081, 1.140, 0.131, 0.525, 0.252, 21.00,39.00, -92.00,204.00,51.00, -88.00,18, 1.390, 6.00,292.00,-1.250,84.00,124.00,-0.130, 1.00, 23.00
   198786,ke  ,GCMT     ,1993-11-19,09:05:43.30,  7.4300, -34.8500, 15.0,TRUE    ,GCMT     ,17,5.290, 5.8,17,-0.142, 0.538,-0.390, 0.000,-5.267, 0.000,267.00,90.00,-180.00,357.00,90.00,   0.00,17, 5.360, 0.00,222.00,-5.220, 0.00,132.00,-0.140,90.00,180.00
   190756,ke  ,AFAR     ,1994-01-26,02:26:00   ,  5.3100,  37.4100,     ,        ,AFAR     ,  ,     , 4.9,  ,      ,      ,      ,      ,      ,      ,158.00,75.00,  -2.00,249.00,88.00,-165.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
   182253,ke  ,GCMT     ,1994-03-19,10:43:46.20,  8.4800,  58.4600, 15.0,TRUE    ,GCMT     ,16,10.360, 5.3,16,-8.210, 6.420, 1.780,-5.768,-3.993, 1.504,111.00,63.00, -99.00,309.00,29.00, -74.00,16,10.510,17.00,207.00,-10.210,71.00,  2.00,-0.300, 8.00,115.00
   178926,ke  ,GCMT     ,1994-04-24,02:57:17.60, 11.8500,  43.0300, 15.0,TRUE    ,GCMT     ,17,2.800, 5.6,17,-2.215, 2.509,-0.290, 1.244,-0.868, 0.160,120.00,34.00, -67.00,273.00,59.00,-105.00,17, 3.010,13.00, 14.00,-2.580,72.00,148.00,-0.430,13.00,281.00
   175015,ke  ,GCMT     ,1994-05-25,22:10:34.40,  6.0400,  61.1600, 15.0,TRUE    ,GCMT     ,17,1.030, 5.3,17,-1.030, 0.874, 0.150, 0.000,-0.365, 0.000,113.00,45.00, -90.00,293.00,45.00, -90.00,17, 1.030, 0.00,203.00,-1.030,90.00,180.00, 0.000, 0.00,113.00
   175016,ke  ,GCMT     ,1994-05-25,22:13:36.00,  5.9000,  61.2300, 15.0,TRUE    ,GCMT     ,17,1.230, 5.3,17,-1.229, 1.050, 0.170, 0.000,-0.445, 0.000,113.00,45.00, -90.00,293.00,45.00, -90.00,17, 1.240, 0.00,203.00,-1.230,90.00,180.00,-0.010, 0.00,113.00
   175039,ke  ,GCMT     ,1994-05-26,00:30:11.10,  5.7300,  61.3100, 15.0,TRUE    ,GCMT     ,17,1.850, 5.4,17,-1.918, 1.384, 0.530, 0.000,-0.710, 0.000,120.00,45.00, -90.00,300.00,45.00, -90.00,17, 1.790, 0.00,210.00,-1.920,90.00,180.00, 0.130, 0.00,120.00
   175831,de  ,NEIC     ,1994-05-31,17:41:55.58,  7.4140, -72.0330, 12.0,        ,NEIC     ,17,9.100, 5.9,17, 8.800,-0.350,-8.460, 1.680, 2.240,-0.030,155.00,47.00,  76.00,356.00,44.00, 105.00,17, 9.110,80.00,353.00,-9.040, 1.00,255.00,-0.060,10.00,165.00
   175831,de  ,GCMT     ,1994-05-31,17:42:03.60,  7.6200, -72.0300, 15.0,TRUE    ,GCMT     ,17,12.370, 6.0,17, 8.403, 0.223,-8.620, 0.360, 5.155, 7.442,133.00,32.00,  54.00,354.00,65.00, 110.00,17,11.640,64.00,298.00,-13.100,18.00, 69.00, 1.460,18.00,165.00
   175855,fe  ,GCMT     ,1994-05-31,20:46:02.00,  7.8300, -72.1200, 21.3,TRUE    ,GCMT     ,17,1.600, 5.4,17, 1.308, 0.026,-1.330, 0.481, 0.601, 0.470,  2.00,55.00, 120.00,137.00,45.00,  54.00,17, 1.610,65.00,329.00,-1.590, 6.00, 71.00,-0.020,24.00,164.00
   140334,fe  ,GCMT     ,1994-11-09,03:57:04.90,  7.5300, -71.7300, 21.3,TRUE    ,GCMT     ,17,1.500, 5.4,17, 1.293, 0.132,-1.420,-0.362, 0.526, 0.181,178.00,42.00, 113.00,329.00,52.00,  71.00,17, 1.400,74.00,182.00,-1.610, 6.00, 72.00, 0.220,15.00,341.00
   133979,fe  ,GCMT     ,1994-12-10,15:24:20.60,  6.8900, -72.8500,164.4,TRUE    ,GCMT     ,16,7.600, 5.2,16, 5.840, 0.734,-6.570, 0.710,-4.090,-2.156, 45.00,42.00, 121.00,186.00,55.00,  65.00,16, 6.610,68.00, 41.00,-8.600, 7.00,293.00, 2.000,20.00,201.00
   125738,ke  ,AFAR     ,1995-01-20,07:14:00   ,  7.1600,  38.4400,     ,        ,AFAR     ,16,3.530, 5.0,  ,      ,      ,      ,      ,      ,      ,  9.00,49.00,-119.00,229.00,49.00, -61.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
   100768,ke  ,GCMT     ,1995-06-26,21:26:55.60,  7.1400, -34.4600, 15.0,TRUE    ,GCMT     ,17,5.970, 5.8,17,-0.073, 0.073, 0.000, 1.295,-5.722,-1.221, 89.00,79.00, 168.00,181.00,79.00,  11.00,17, 6.260,16.00, 45.00,-5.690, 1.00,135.00,-0.570,74.00,227.00
   993115,ke  ,GCMT     ,1996-10-22,10:27:20.90,  7.3900, -35.1600, 15.0,TRUE    ,GCMT     ,16,4.800, 5.0,16,-0.633, 0.710,-0.070, 0.239,-4.725,-0.764, 87.00,81.00, 179.00,177.00,89.00,   9.00,16, 5.140, 7.00, 43.00,-4.470, 6.00,312.00,-0.670,81.00,181.00
